sr_no,gender,hue,value,height,physique,color_season,event,wedding_category,location,forecast,date ,top,top_fabric,top_color,top_decor,bottom,bottom_fabric,bottom_color,bottom_decor,dupatta_fabric,dupatta_color,dupatta_decor,hijab_color,shoes,shoes_color,accessories
1,female,warm,dark,short,skinny/slim,autumn,wedding,mehndi,islamabad,13,08-06-24,kurti,raw silk,aubergine,embellishments,gharara,blended raw silk,aubergine,brocade,organza,golden,piping,golden,khussa,golden,clutch
2,female,warm,dark,short,skinny/slim,autumn,wedding,barat,islamabad,13,08-06-24,long kameez,chiffon,maroon,embellishments,plain trouser,raw silk,maroon,plain,chiffon,maroon,embellishment,maroon,heels,golden,clutch
3,female,warm,dark,short,skinny/slim,autumn,wedding,walima,islamabad,13,08-06-24,kurti,organza,powder pink,embellishments,block trouser,raw silk,powder pink,plain,organza,powder pink,embroidery,silver,heels,silver,clutch
4,female,warm,dark,short,skinny/slim,autumn,eid,nill,islamabad,13,08-06-24,long kameez,jacquard ,brown ,crystals rhinestones ,straight pants,jacquard,brown ,plain,jacquard ,copper,brocade,brown ,heels,brown ,
5,female,warm,dark,short,skinny/slim,autumn,party,nill,islamabad,40,29-12-24,kurta ,organza,grey ,embroidery  sequins ,wide-leg trouser,satin ,grey ,plain,organza,grey ,fringed lace,grey ,heels,silver,clutch
6,female,warm,dark,short,skinny/slim,autumn,office/uni,nill,islamabad,40,29-12-24,short kurti ,texture lawn ,tea pink ,laced cuffs,wide-leg trouser,cambric ,tea pink,plain,chiffon,white,plain ,white,pumps,powder pink,hand bag
7,female,warm,dark,short,skinny/slim,autumn,dawat,nill,islamabad,40,29-12-24,kurti ,cotton ,plum ,shiffli ,straight pants,cambric ,plum ,plain ,zari ,plum ,sequins ,plum ,heels,plum ,
8,female,warm,dark,short,chubby/obese,autumn,wedding,mehndi,islamabad,40,29-12-24,a-line kameez,jacquard silk net,burnt orange,embellishments,straight pants,raw silk,burnt orange,plain,chiffon,teal,embellishment,burnt orange,khussa ,burnt orange,clutch
9,female,warm,dark,short,chubby/obese,autumn,wedding,barat,islamabad,14,15-08-24,long kameez,chiffon,maroon,embellishments,plain trouser,raw silk,maroon,plain,chiffon,maroon,embellishment,maroon,heels,golden,clutch
10,female,warm,dark,short,chubby/obese,autumn,wedding,walima,islamabad,14,15-08-24,long kameez,chiffon,cream,embellishments,plain trouser,raw silk,cream,plain,chiffon,golden,embellishment,golden,heels,golden,clutch
11,female,warm,dark,short,chubby/obese,autumn,eid,nill,islamabad,14,15-08-24,long kameez,jacquard ,brown ,crystals rhinestones ,straight pants,jacquard,brown ,plain,jacquard ,copper,brocade,brown ,heels,brown ,
12,female,warm,dark,short,chubby/obese,autumn,party,nill,islamabad,14,15-08-24,long kameez,jacquard ,brown ,crystals rhinestones ,straight pants,jacquard,brown ,plain,jacquard ,copper,brocade,brown ,heels,brown ,
13,female,warm,dark,short,chubby/obese,autumn,office/uni,nill,islamabad,11,21-12-24,kurta ,karandi ,dark brown,embroidery print ,straight pants,karandi ,dark brown,printed border,wool ,chocolate brown,embroidery ,dark brown,flats,brown ,hand bag
14,female,warm,dark,short,chubby/obese,autumn,dawat,nill,islamabad,11,21-12-24,kurta ,organza,grey ,embroidery  sequins ,wide-leg trouser,satin ,grey ,plain,organza,grey ,fringed lace,grey ,heels,silver,clutch
15,female,warm,dark,average,skinny/slim,autumn,wedding,mehndi,islamabad,11,21-12-24,kurti,raw silk,aubergine,embellishments,gharara,blended raw silk,aubergine,brocade,organza,golden,piping,golden,khussa,golden,clutch
16,female,warm,dark,average,skinny/slim,autumn,wedding,barat,islamabad,11,21-12-24,co-ord shirt,chiffon blend + blended raw silk slip,jewel green,sequins jewelled neckline and sleeves,co-ord pants,chiffon blend,jewel green,sequins,nill,nill,nill,jewel green ,heels,jewel green,clutch
17,female,warm,dark,average,skinny/slim,autumn,wedding,walima,islamabad,16,24-04-25,kurti,organza,powder pink,embellishments,block trouser,raw silk,powder pink,plain,organza,powder pink,embroidery,silver,heels,silver,clutch
18,female,warm,dark,average,skinny/slim,autumn,eid,nill,islamabad,16,24-04-25,long kameez,jacquard ,brown ,crystals rhinestones ,straight pants,jacquard,brown ,plain,jacquard ,copper,brocade,brown ,heels,brown ,nill
19,female,warm,dark,average,skinny/slim,autumn,party,nill,islamabad,16,24-04-25,kurta ,organza,grey ,embroidery  sequins ,wide-leg trouser,satin ,grey ,plain,organza,grey ,fringed lace,grey ,heels,silver,clutch
20,female,warm,dark,average,skinny/slim,autumn,office/uni,nill,islamabad,16,24-04-25,short kurti ,texture lawn ,tea pink ,laced cuffs,wide-leg trouser,cambric ,tea pink,plain,chiffon,white,plain ,white,pumps,powder pink,hand bag
21,female,warm,dark,average,skinny/slim,autumn,dawat,nill,islamabad,28,25-04-25,kurti ,cotton ,plum ,shiffli ,straight pants,cambric ,plum ,plain ,zari ,plum ,sequins ,plum ,heels,plum ,nill
22,female,warm,dark,average,chubby/obese,autumn,wedding,mehndi,islamabad,28,25-04-25,a-line kameez,jacquard silk net,burnt orange,embellishments,straight pants,raw silk,burnt orange,plain,chiffon,teal,embellishment,burnt orange,khussa ,burnt orange,clutch
23,female,warm,dark,average,chubby/obese,autumn,wedding,barat,islamabad,28,25-04-25,long kameez,chiffon,maroon,embellishments,plain trouser,raw silk,maroon,plain,chiffon,maroon,embellishment,maroon,heels,golden,clutch
24,female,warm,dark,average,chubby/obese,autumn,wedding,walima,islamabad,28,25-04-25,long kameez,chiffon,cream,embellishments,plain trouser,raw silk,cream,plain,chiffon,golden,embellishment,golden,heels,golden,clutch
25,female,warm,dark,average,chubby/obese,autumn,eid,nill,islamabad,32,26-04-25,long kameez,jacquard ,brown ,crystals rhinestones ,straight pants,jacquard,brown ,plain,jacquard ,copper,brocade,brown ,heels,brown ,nill
26,female,warm,dark,average,chubby/obese,autumn,party,nill,islamabad,32,26-04-25,long kameez,jacquard ,brown ,crystals rhinestones ,straight pants,jacquard,brown ,plain,jacquard ,copper,brocade,brown ,heels,brown ,nill
27,female,warm,dark,average,chubby/obese,autumn,office/uni,nill,islamabad,32,26-04-25,kurta ,karandi ,dark brown,embroidery print ,straight pants,karandi ,dark brown,printed border,wool ,chocolate brown,embroidery ,dark brown,flats,brown ,hand bag
28,female,warm,dark,average,chubby/obese,autumn,dawat,nill,islamabad,32,26-04-25,kurta ,organza,grey ,embroidery  sequins ,wide-leg trouser,satin ,grey ,plain,organza,grey ,fringed lace,grey ,heels,silver,clutch
29,female,warm,dark,tall,skinny/slim,autumn,wedding,mehndi,islamabad,32,22-06-24,kurti,raw silk,aubergine,embellishments,gharara,blended raw silk,aubergine,brocade,organza,golden,piping,golden,khussa,golden,clutch
30,female,warm,dark,tall,skinny/slim,autumn,wedding,barat,islamabad,32,22-06-24,kaftan,blended chiffon + blended raw silk slip,pewter grey,crystals resham sequins gathered sleeves with pearl drops,straight pants,blended raw silk,pewter grey ,plain,nill,nill,nill,silver,heels,silver,clutch
